"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 09, 2018","0.31097","0.30414","0.32158","0.30026","184.54M","2.25%"
"Dec 08, 2018","0.30414","0.30165","0.32249","0.29254","263.89M","0.83%"
"Dec 07, 2018","0.30165","0.30878","0.31119","0.28866","403.58M","-2.31%"
"Dec 06, 2018","0.30879","0.33849","0.34520","0.30671","288.89M","-8.77%"
"Dec 05, 2018","0.33849","0.35309","0.35477","0.33828","198.90M","-4.14%"
"Dec 04, 2018","0.35312","0.34809","0.36289","0.33930","211.13M","1.44%"
"Dec 03, 2018","0.34811","0.36917","0.37056","0.34548","196.97M","-5.70%"
"Dec 02, 2018","0.36917","0.37328","0.38068","0.36669","136.20M","-1.10%"
"Dec 01, 2018","0.37328","0.36450","0.37899","0.35774","186.63M","2.41%"
"Nov 30, 2018","0.36448","0.38145","0.38313","0.35556","264.25M","-4.44%"
"Nov 29, 2018","0.38143","0.39252","0.39493","0.37340","350.56M","-2.83%"
"Nov 28, 2018","0.39252","0.36505","0.40331","0.36504","469.81M","7.52%"
"Nov 27, 2018","0.36506","0.36210","0.37379","0.34664","389.16M","0.82%"
"Nov 26, 2018","0.36210","0.38168","0.39766","0.34573","723.22M","-5.14%"
"Nov 25, 2018","0.38172","0.37934","0.39315","0.32801","927.80M","0.61%"
"Nov 24, 2018","0.37942","0.41318","0.42652","0.37027","471.98M","-8.20%"
"Nov 23, 2018","0.41331","0.42657","0.43275","0.39862","449.91M","-3.04%"
"Nov 22, 2018","0.42627","0.45214","0.45564","0.42496","250.74M","-5.69%"
"Nov 21, 2018","0.45202","0.44228","0.46693","0.41928","455.32M","2.10%"
"Nov 20, 2018","0.44273","0.48164","0.50672","0.41332","916.02M","-8.08%"
"Nov 19, 2018","0.48164","0.51556","0.51586","0.46932","645.21M","-6.58%"
"Nov 18, 2018","0.51555","0.49785","0.52971","0.49550","371.03M","3.61%"
"Nov 17, 2018","0.49760","0.47662","0.50309","0.47037","275.49M","4.41%"
"Nov 16, 2018","0.47660","0.48736","0.49299","0.46522","326.70M","-2.20%"
"Nov 15, 2018","0.48732","0.47997","0.49189","0.43236","536.21M","1.53%"
"Nov 14, 2018","0.47997","0.51629","0.51851","0.42382","603.51M","-7.04%"
"Nov 13, 2018","0.51629","0.52287","0.53210","0.51047","217.76M","-1.26%"
"Nov 12, 2018","0.52287","0.50946","0.53234","0.50487","195.05M","2.63%"
"Nov 11, 2018","0.50948","0.50845","0.51114","0.49783","90.76M","0.20%"
"Nov 10, 2018","0.50845","0.50383","0.51603","0.50282","102.49M","0.92%"
"Nov 09, 2018","0.50383","0.49621","0.52090","0.49580","223.36M","1.54%"
"Nov 08, 2018","0.49621","0.53994","0.54493","0.49313","309.85M","-8.08%"
"Nov 07, 2018","0.53980","0.55393","0.55463","0.52802","281.96M","-2.52%"
"Nov 06, 2018","0.55373","0.50118","0.56512","0.50118","631.27M","10.49%"
"Nov 05, 2018","0.50116","0.46967","0.50280","0.46376","304.86M","6.73%"
"Nov 04, 2018","0.46954","0.45694","0.47808","0.44973","194.35M","2.78%"
"Nov 03, 2018","0.45684","0.46121","0.46265","0.45521","104.47M","-0.95%"
"Nov 02, 2018","0.46122","0.46029","0.46626","0.45830","178.05M","0.20%"
"Nov 01, 2018","0.46029","0.45361","0.46055","0.45032","133.89M","1.47%"
"Oct 31, 2018","0.45361","0.44738","0.45889","0.43815","167.57M","1.42%"
"Oct 30, 2018","0.44726","0.44421","0.45238","0.44379","142.49M","0.69%"
"Oct 29, 2018","0.44421","0.46406","0.46463","0.43670","212.63M","-4.25%"
"Oct 28, 2018","0.46390","0.45992","0.46586","0.45834","149.77M","0.91%"
"Oct 27, 2018","0.45973","0.46505","0.46633","0.45749","133.55M","-1.14%"
"Oct 26, 2018","0.46505","0.46273","0.46847","0.45839","116.48M","0.50%"
"Oct 25, 2018","0.46275","0.46333","0.47080","0.45683","167.82M","-0.08%"
"Oct 24, 2018","0.46314","0.46870","0.47618","0.45994","161.66M","-1.19%"
"Oct 23, 2018","0.46869","0.46061","0.48298","0.44394","267.33M","1.75%"
"Oct 22, 2018","0.46061","0.46423","0.46784","0.45605","150.69M","-0.78%"
"Oct 21, 2018","0.46423","0.46712","0.47296","0.46322","230.82M","-0.62%"
"Oct 20, 2018","0.46712","0.45999","0.47113","0.45584","180.91M","1.55%"
"Oct 19, 2018","0.45999","0.46679","0.47116","0.45724","221.22M","-1.46%"
"Oct 18, 2018","0.46680","0.48330","0.49244","0.45553","342.26M","-3.34%"
"Oct 17, 2018","0.48294","0.48309","0.49529","0.47104","365.47M","-0.08%"
"Oct 16, 2018","0.48335","0.45983","0.48575","0.45520","391.84M","5.12%"
"Oct 15, 2018","0.45981","0.40834","0.50997","0.39902","884.05M","12.60%"
"Oct 14, 2018","0.40834","0.42245","0.42952","0.40554","222.97M","-3.32%"
"Oct 13, 2018","0.42235","0.42043","0.42995","0.41670","295.42M","0.43%"
"Oct 12, 2018","0.42055","0.38208","0.44525","0.37824","638.89M","10.07%"
"Oct 11, 2018","0.38209","0.46573","0.46574","0.37822","715.06M","-17.96%"
"Oct 10, 2018","0.46573","0.48156","0.48156","0.46220","252.60M","-3.29%"
"Oct 09, 2018","0.48157","0.49232","0.49325","0.47137","246.03M","-2.19%"
"Oct 08, 2018","0.49233","0.48247","0.49986","0.47979","329.33M","2.04%"
"Oct 07, 2018","0.48247","0.48890","0.49030","0.46854","282.52M","-1.30%"
"Oct 06, 2018","0.48883","0.52091","0.52183","0.46909","376.59M","-6.15%"
"Oct 05, 2018","0.52085","0.52870","0.53257","0.51070","332.77M","-1.49%"
"Oct 04, 2018","0.52871","0.52860","0.54900","0.52409","320.58M","0.03%"
"Oct 03, 2018","0.52855","0.51693","0.53720","0.50821","556.33M","2.23%"
"Oct 02, 2018","0.51702","0.57733","0.57982","0.51565","439.89M","-10.45%"
"Oct 01, 2018","0.57737","0.58272","0.60468","0.53364","801.49M","-0.92%"
"Sep 30, 2018","0.58274","0.56984","0.62065","0.56011","696.05M","2.27%"
"Sep 29, 2018","0.56983","0.53984","0.59224","0.52616","547.85M","5.59%"
"Sep 28, 2018","0.53969","0.54282","0.54983","0.51766","427.85M","-0.64%"
"Sep 27, 2018","0.54315","0.51250","0.55362","0.50887","475.46M","5.97%"
"Sep 26, 2018","0.51257","0.52570","0.57108","0.48556","1.10B","-2.50%"
"Sep 25, 2018","0.52570","0.49234","0.54544","0.43633","1.06B","6.78%"
"Sep 24, 2018","0.49234","0.57177","0.58246","0.48405","617.15M","-13.90%"
"Sep 23, 2018","0.57179","0.57341","0.59722","0.55814","509.87M","-0.28%"
"Sep 22, 2018","0.57338","0.56355","0.62702","0.49165","1.14B","1.75%"
"Sep 21, 2018","0.56351","0.45011","0.78848","0.42868","2.32B","25.20%"
"Sep 20, 2018","0.45010","0.32657","0.48648","0.32154","1.00B","37.85%"
"Sep 19, 2018","0.32650","0.31961","0.33474","0.31107","459.13M","2.15%"
"Sep 18, 2018","0.31965","0.27058","0.33525","0.26925","658.84M","18.13%"
"Sep 17, 2018","0.27058","0.28113","0.28352","0.26706","252.12M","-3.75%"
"Sep 16, 2018","0.28113","0.28041","0.28190","0.27427","168.88M","0.26%"
"Sep 15, 2018","0.28041","0.27610","0.28432","0.27600","184.85M","1.54%"
"Sep 14, 2018","0.27616","0.27915","0.28507","0.27206","255.48M","-1.07%"
"Sep 13, 2018","0.27914","0.26986","0.28537","0.26779","288.95M","3.44%"
"Sep 12, 2018","0.26986","0.26298","0.27310","0.25348","254.46M","2.62%"
"Sep 11, 2018","0.26298","0.26949","0.27454","0.25336","200.13M","-2.40%"
"Sep 10, 2018","0.26944","0.27636","0.28229","0.26017","229.06M","-2.41%"
"Sep 09, 2018","0.27608","0.27674","0.29040","0.27099","152.36M","-0.23%"
"Sep 08, 2018","0.27673","0.28715","0.29353","0.26981","149.45M","-3.59%"
"Sep 07, 2018","0.28704","0.30173","0.30370","0.28132","179.70M","-4.86%"
"Sep 06, 2018","0.30169","0.27887","0.30454","0.26895","315.37M","8.12%"
"Sep 05, 2018","0.27904","0.33076","0.33383","0.27790","385.13M","-15.64%"
"Sep 04, 2018","0.33078","0.33454","0.34103","0.32896","236.22M","-1.15%"
"Sep 03, 2018","0.33463","0.34199","0.34348","0.33346","199.93M","-2.15%"
"Sep 02, 2018","0.34199","0.34691","0.34905","0.33615","198.91M","-1.42%"
"Sep 01, 2018","0.34691","0.33507","0.35379","0.33493","210.88M","3.55%"
"Aug 31, 2018","0.33503","0.33491","0.34051","0.32802","194.86M","0.05%"
"Aug 30, 2018","0.33487","0.34481","0.34633","0.32336","235.47M","-2.88%"
"Aug 29, 2018","0.34480","0.35111","0.35456","0.33876","229.85M","-1.80%"
"Aug 28, 2018","0.35111","0.33877","0.35727","0.33484","274.10M","3.64%"
"Aug 27, 2018","0.33877","0.32298","0.33977","0.32194","212.43M","4.89%"
"Aug 26, 2018","0.32298","0.32725","0.32807","0.31863","152.97M","-1.30%"
"Aug 25, 2018","0.32725","0.32673","0.33165","0.32215","132.13M","0.16%"
"Aug 24, 2018","0.32673","0.32609","0.32840","0.31583","301.35M","0.20%"
"Aug 23, 2018","0.32608","0.31812","0.32903","0.31547","212.57M","2.59%"
"Aug 22, 2018","0.31786","0.33384","0.35425","0.31293","252.79M","-4.79%"
"Aug 21, 2018","0.33384","0.31467","0.33693","0.31347","176.64M","6.09%"
"Aug 20, 2018","0.31467","0.34231","0.35028","0.31354","274.84M","-8.07%"
"Aug 19, 2018","0.34230","0.32840","0.35214","0.31878","280.17M","4.24%"
"Aug 18, 2018","0.32838","0.36737","0.36987","0.31339","365.68M","-10.62%"
"Aug 17, 2018","0.36739","0.29157","0.37355","0.29113","394.42M","26.00%"
"Aug 16, 2018","0.29157","0.28020","0.30123","0.27585","233.84M","4.04%"
"Aug 15, 2018","0.28026","0.27289","0.30211","0.27277","330.90M","2.70%"
"Aug 14, 2018","0.27289","0.27446","0.27671","0.24706","284.66M","-0.57%"
"Aug 13, 2018","0.27446","0.29562","0.30905","0.27160","229.12M","-7.14%"
"Aug 12, 2018","0.29555","0.29745","0.30899","0.29468","180.17M","-0.68%"
"Aug 11, 2018","0.29757","0.31886","0.31958","0.28814","240.82M","-6.68%"
"Aug 10, 2018","0.31886","0.34384","0.34585","0.31328","222.24M","-7.28%"
"Aug 09, 2018","0.34388","0.33182","0.35740","0.32824","246.96M","3.64%"
"Aug 08, 2018","0.33179","0.37836","0.37836","0.32011","349.84M","-12.31%"
"Aug 07, 2018","0.37837","0.41288","0.41538","0.37516","191.01M","-8.36%"
"Aug 06, 2018","0.41287","0.43458","0.43655","0.40331","151.78M","-5.00%"
"Aug 05, 2018","0.43458","0.42964","0.43673","0.42711","114.40M","1.14%"
"Aug 04, 2018","0.42969","0.44072","0.44439","0.42776","111.79M","-2.49%"
"Aug 03, 2018","0.44065","0.43026","0.44641","0.42599","170.12M","2.42%"
"Aug 02, 2018","0.43025","0.44659","0.44800","0.42979","125.83M","-3.68%"
"Aug 01, 2018","0.44667","0.43498","0.46260","0.42709","173.07M","2.69%"
"Jul 31, 2018","0.43498","0.44603","0.44641","0.42703","147.97M","-2.48%"
"Jul 30, 2018","0.44603","0.45303","0.45623","0.43510","176.88M","-1.55%"
"Jul 29, 2018","0.45303","0.45679","0.45812","0.45024","122.50M","-0.81%"
"Jul 28, 2018","0.45675","0.45515","0.45675","0.44835","86.43M","0.35%"
"Jul 27, 2018","0.45516","0.44961","0.46053","0.44452","106.32M","1.25%"
"Jul 26, 2018","0.44956","0.45944","0.46859","0.44675","116.07M","-2.15%"
"Jul 25, 2018","0.45943","0.45793","0.46803","0.45175","150.95M","0.28%"
"Jul 24, 2018","0.45813","0.44518","0.46904","0.43846","200.28M","2.91%"
"Jul 23, 2018","0.44519","0.44934","0.46363","0.44311","116.74M","-0.93%"
"Jul 22, 2018","0.44938","0.45501","0.46318","0.44777","106.92M","-1.24%"
"Jul 21, 2018","0.45501","0.44462","0.45866","0.43529","98.11M","2.34%"
"Jul 20, 2018","0.44462","0.47694","0.47733","0.43109","175.09M","-6.78%"
"Jul 19, 2018","0.47694","0.48828","0.49439","0.47231","189.37M","-2.32%"
"Jul 18, 2018","0.48826","0.50699","0.52362","0.47608","225.29M","-3.69%"
"Jul 17, 2018","0.50696","0.48182","0.51878","0.46913","209.84M","5.20%"
"Jul 16, 2018","0.48190","0.44708","0.48352","0.44347","162.16M","7.79%"
"Jul 15, 2018","0.44708","0.43849","0.44939","0.43588","102.50M","1.96%"
"Jul 14, 2018","0.43849","0.43706","0.44276","0.43233","96.38M","0.28%"
"Jul 13, 2018","0.43727","0.43769","0.44491","0.43109","128.21M","-0.09%"
"Jul 12, 2018","0.43767","0.45024","0.45037","0.42522","127.92M","-2.79%"
"Jul 11, 2018","0.45023","0.44422","0.45221","0.44155","115.70M","1.35%"
"Jul 10, 2018","0.44422","0.47383","0.47408","0.44094","148.32M","-6.25%"
"Jul 09, 2018","0.47383","0.47887","0.48173","0.47232","162.79M","-1.05%"
"Jul 08, 2018","0.47886","0.48570","0.48725","0.47589","188.43M","-1.41%"
"Jul 07, 2018","0.48570","0.47774","0.48638","0.46533","177.17M","1.67%"
"Jul 06, 2018","0.47773","0.47779","0.48130","0.46024","172.98M","-0.01%"
"Jul 05, 2018","0.47779","0.49193","0.50101","0.47053","229.64M","-2.88%"
"Jul 04, 2018","0.49194","0.48514","0.50597","0.47745","182.33M","1.40%"
"Jul 03, 2018","0.48516","0.49005","0.51661","0.47953","278.80M","-1.00%"
"Jul 02, 2018","0.49005","0.46226","0.49433","0.45515","214.18M","6.01%"
"Jul 01, 2018","0.46226","0.46491","0.46558","0.44968","215.24M","-0.56%"
"Jun 30, 2018","0.46486","0.45531","0.48159","0.45450","251.84M","2.10%"
"Jun 29, 2018","0.45531","0.44753","0.46024","0.42570","182.93M","1.66%"
"Jun 28, 2018","0.44786","0.47164","0.47433","0.44555","141.22M","-5.08%"
"Jun 27, 2018","0.47186","0.45300","0.47602","0.44861","101.67M","4.15%"
"Jun 26, 2018","0.45304","0.48086","0.48190","0.45173","71.51M","-5.77%"
"Jun 25, 2018","0.48080","0.47450","0.49137","0.47257","96.46M","1.32%"
"Jun 24, 2018","0.47455","0.49028","0.49531","0.44064","172.04M","-3.12%"
"Jun 23, 2018","0.48983","0.48230","0.49530","0.47550","83.46M","1.56%"
"Jun 22, 2018","0.48230","0.53410","0.53488","0.47141","192.51M","-9.70%"
"Jun 21, 2018","0.53410","0.53989","0.54837","0.53052","85.20M","-1.07%"
"Jun 20, 2018","0.53989","0.54906","0.55003","0.52406","101.03M","-1.67%"
"Jun 19, 2018","0.54906","0.53826","0.56121","0.53521","112.20M","2.01%"
"Jun 18, 2018","0.53826","0.52551","0.54842","0.50636","128.41M","2.43%"
"Jun 17, 2018","0.52551","0.53297","0.54100","0.52219","100.52M","-1.40%"
"Jun 16, 2018","0.53297","0.53333","0.53794","0.51926","111.17M","-0.07%"
"Jun 15, 2018","0.53333","0.55665","0.55853","0.52882","115.01M","-4.16%"
"Jun 14, 2018","0.55650","0.52997","0.56577","0.52075","174.04M","5.03%"
"Jun 13, 2018","0.52987","0.55822","0.56121","0.50518","175.44M","-5.08%"
"Jun 12, 2018","0.55823","0.59927","0.59937","0.54725","140.84M","-6.85%"
"Jun 11, 2018","0.59928","0.58169","0.60043","0.56125","119.80M","3.03%"
"Jun 10, 2018","0.58167","0.65858","0.65868","0.55265","224.63M","-11.68%"
"Jun 09, 2018","0.65860","0.67251","0.68191","0.65755","88.58M","-2.07%"
"Jun 08, 2018","0.67251","0.67772","0.67958","0.65838","105.36M","-0.77%"
"Jun 07, 2018","0.67774","0.67323","0.68877","0.66866","110.51M","0.66%"
"Jun 06, 2018","0.67329","0.67605","0.68044","0.65535","126.75M","-0.39%"
"Jun 05, 2018","0.67594","0.65563","0.68390","0.63473","154.84M","3.04%"
"Jun 04, 2018","0.65597","0.68796","0.70431","0.63577","194.54M","-4.65%"
"Jun 03, 2018","0.68795","0.64290","0.68795","0.63935","127.98M","7.01%"
"Jun 02, 2018","0.64286","0.62113","0.65059","0.61547","145.53M","3.50%"
"Jun 01, 2018","0.62113","0.61098","0.62359","0.60186","132.40M","1.65%"
"May 31, 2018","0.61103","0.59410","0.62103","0.58663","123.38M","2.90%"
"May 30, 2018","0.59379","0.59939","0.62551","0.57856","132.83M","-0.93%"
"May 29, 2018","0.59936","0.54760","0.60883","0.54440","155.95M","9.45%"
"May 28, 2018","0.54761","0.60466","0.60749","0.54605","158.34M","-9.43%"
"May 27, 2018","0.60463","0.60877","0.61190","0.59880","95.15M","-0.68%"
"May 26, 2018","0.60878","0.60564","0.62475","0.59893","99.11M","0.52%"
"May 25, 2018","0.60564","0.62894","0.63301","0.59480","134.70M","-3.74%"
"May 24, 2018","0.62915","0.59126","0.63731","0.57783","183.31M","6.41%"
"May 23, 2018","0.59126","0.63847","0.64400","0.57519","224.04M","-7.40%"
"May 22, 2018","0.63851","0.67578","0.67763","0.63621","72.67M","-5.52%"
"May 21, 2018","0.67578","0.69845","0.70242","0.67253","61.51M","-3.25%"
"May 20, 2018","0.69845","0.67391","0.70467","0.66791","84.06M","3.64%"
"May 19, 2018","0.67391","0.67855","0.68860","0.65839","101.52M","-0.68%"
"May 18, 2018","0.67850","0.66300","0.68382","0.64736","170.82M","2.34%"
"May 17, 2018","0.66298","0.70750","0.70982","0.65450","145.73M","-6.29%"
"May 16, 2018","0.70749","0.68506","0.70793","0.65599","143.62M","3.27%"
"May 15, 2018","0.68507","0.72724","0.74740","0.68162","155.59M","-5.80%"
"May 14, 2018","0.72724","0.72910","0.74849","0.68922","217.02M","-0.26%"
"May 13, 2018","0.72912","0.68498","0.74949","0.66425","179.64M","6.73%"
"May 12, 2018","0.68317","0.67679","0.70823","0.62305","205.21M","0.95%"
"May 11, 2018","0.67671","0.74976","0.75267","0.64999","352.32M","-9.75%"
"May 10, 2018","0.74978","0.79036","0.80338","0.74358","139.52M","-5.15%"
"May 09, 2018","0.79047","0.80674","0.81609","0.76064","162.23M","-2.03%"
"May 08, 2018","0.80689","0.83242","0.83478","0.79285","138.45M","-2.91%"
"May 07, 2018","0.83106","0.86375","0.86544","0.80068","161.24M","-3.79%"
"May 06, 2018","0.86378","0.90138","0.91754","0.84293","142.94M","-4.15%"
"May 05, 2018","0.90121","0.88948","0.92955","0.88819","165.50M","1.29%"
"May 04, 2018","0.88970","0.88045","0.93050","0.85936","223.38M","1.02%"
"May 03, 2018","0.88075","0.85924","0.89279","0.84174","176.44M","2.51%"
"May 02, 2018","0.85921","0.83491","0.86546","0.82433","136.85M","2.91%"
"May 01, 2018","0.83491","0.83143","0.83752","0.78255","139.31M","0.43%"
"Apr 30, 2018","0.83137","0.86843","0.87462","0.82017","136.57M","-4.20%"
"Apr 29, 2018","0.86782","0.86295","0.90860","0.82577","185.66M","0.57%"
"Apr 28, 2018","0.86288","0.80824","0.88902","0.80498","184.40M","6.75%"
"Apr 27, 2018","0.80831","0.84728","0.86047","0.80646","175.74M","-4.75%"
"Apr 26, 2018","0.84858","0.79496","0.87556","0.76296","243.03M","6.74%"
"Apr 25, 2018","0.79500","0.92102","0.92557","0.67787","392.01M","-13.77%"
"Apr 24, 2018","0.92197","0.87375","0.96427","0.86879","294.90M","5.52%"
"Apr 23, 2018","0.87375","0.86305","0.88331","0.84818","141.72M","1.26%"
"Apr 22, 2018","0.86290","0.86620","0.91280","0.83879","170.34M","-0.34%"
"Apr 21, 2018","0.86585","0.92432","0.92432","0.80788","291.65M","-6.33%"
"Apr 20, 2018","0.92432","0.78299","0.93623","0.78299","406.39M","18.05%"
"Apr 19, 2018","0.78299","0.71351","0.78757","0.70641","196.17M","9.87%"
"Apr 18, 2018","0.71267","0.65533","0.72878","0.65433","187.41M","8.75%"
"Apr 17, 2018","0.65532","0.66417","0.68189","0.65259","142.54M","-1.38%"
"Apr 16, 2018","0.66449","0.69374","0.69491","0.63689","154.11M","-4.22%"
"Apr 15, 2018","0.69374","0.64049","0.69545","0.64044","173.86M","8.32%"
"Apr 14, 2018","0.64046","0.64107","0.67152","0.62258","190.09M","-0.04%"
"Apr 13, 2018","0.64073","0.64141","0.70904","0.61385","392.79M","-0.11%"
"Apr 12, 2018","0.64141","0.54069","0.66235","0.50290","418.13M","18.73%"
"Apr 11, 2018","0.54025","0.49153","0.55401","0.48745","140.25M","9.91%"
"Apr 10, 2018","0.49152","0.48696","0.49408","0.47787","71.89M","0.99%"
"Apr 09, 2018","0.48669","0.49842","0.51160","0.47668","115.06M","-2.35%"
"Apr 08, 2018","0.49840","0.48562","0.50127","0.48532","51.98M","2.63%"
"Apr 07, 2018","0.48562","0.47369","0.49630","0.47200","64.22M","2.47%"
"Apr 06, 2018","0.47391","0.48931","0.49450","0.46050","79.37M","-3.15%"
"Apr 05, 2018","0.48931","0.49145","0.49787","0.47598","105.37M","-0.39%"
"Apr 04, 2018","0.49122","0.54744","0.55256","0.48690","142.42M","-10.27%"
"Apr 03, 2018","0.54745","0.49379","0.55252","0.49218","160.50M","10.88%"
"Apr 02, 2018","0.49373","0.47874","0.50364","0.47223","103.10M","3.13%"
"Apr 01, 2018","0.47874","0.50127","0.50893","0.45579","123.19M","-4.42%"
"Mar 31, 2018","0.50089","0.49929","0.52182","0.49327","114.40M","0.35%"
"Mar 30, 2018","0.49917","0.50333","0.52665","0.47369","219.08M","-0.76%"
"Mar 29, 2018","0.50298","0.57359","0.57493","0.49814","194.98M","-12.30%"
"Mar 28, 2018","0.57354","0.57022","0.58862","0.56588","84.44M","0.60%"
"Mar 27, 2018","0.57012","0.58893","0.59640","0.55820","113.15M","-3.11%"
"Mar 26, 2018","0.58843","0.63466","0.63715","0.57604","154.41M","-7.29%"
"Mar 25, 2018","0.63466","0.62921","0.65427","0.62239","76.01M","0.88%"
"Mar 24, 2018","0.62913","0.64045","0.67795","0.62902","103.75M","-1.76%"
"Mar 23, 2018","0.64040","0.65445","0.65445","0.61433","110.36M","-2.15%"
"Mar 22, 2018","0.65445","0.68042","0.69119","0.62382","142.67M","-3.81%"
"Mar 21, 2018","0.68035","0.70026","0.70936","0.66237","156.17M","-2.84%"
"Mar 20, 2018","0.70026","0.72095","0.72095","0.65919","219.52M","-2.95%"
"Mar 19, 2018","0.72155","0.65052","0.72417","0.62823","221.70M","10.94%"
"Mar 18, 2018","0.65043","0.62944","0.68163","0.53945","282.00M","3.32%"
"Mar 17, 2018","0.62952","0.67820","0.68321","0.61720","118.91M","-7.25%"
"Mar 16, 2018","0.67874","0.68468","0.71019","0.66083","155.72M","-0.87%"
"Mar 15, 2018","0.68468","0.68784","0.72309","0.63136","180.04M","-0.46%"
"Mar 14, 2018","0.68783","0.77825","0.79079","0.65633","158.13M","-11.62%"
"Mar 13, 2018","0.77825","0.78325","0.79943","0.76337","73.70M","-0.64%"
"Mar 12, 2018","0.78325","0.81690","0.82695","0.76613","81.58M","-4.07%"
"Mar 11, 2018","0.81652","0.77546","0.82985","0.75230","107.50M","5.29%"
"Mar 10, 2018","0.77546","0.82449","0.84073","0.77066","100.47M","-5.95%"
"Mar 09, 2018","0.82457","0.80633","0.84138","0.73363","211.30M","2.25%"
"Mar 08, 2018","0.80642","0.85212","0.87251","0.79771","134.35M","-5.34%"
"Mar 07, 2018","0.85192","0.90367","0.91412","0.79199","224.16M","-5.70%"
"Mar 06, 2018","0.90345","0.94401","0.97980","0.89676","223.30M","-4.47%"
"Mar 05, 2018","0.94569","1.00421","1.08514","0.94342","336.05M","-5.84%"
"Mar 04, 2018","1.00430","0.89849","1.02711","0.88572","176.84M","11.77%"
"Mar 03, 2018","0.89855","0.89921","0.92053","0.89230","66.10M","-0.09%"
"Mar 02, 2018","0.89935","0.91533","0.92145","0.88771","53.24M","-1.75%"
"Mar 01, 2018","0.91533","0.88692","0.94714","0.87629","92.33M","3.20%"
"Feb 28, 2018","0.88692","0.92939","0.94707","0.88353","74.26M","-4.60%"
"Feb 27, 2018","0.92968","0.92978","0.95805","0.91822","64.20M","0.03%"
"Feb 26, 2018","0.92937","0.90303","0.94378","0.87730","82.48M","2.97%"
"Feb 25, 2018","0.90260","0.90218","0.92479","0.88094","58.01M","0.05%"
"Feb 24, 2018","0.90218","0.94109","0.96733","0.87252","86.53M","-4.21%"
"Feb 23, 2018","0.94178","0.89144","0.98311","0.85367","133.52M","5.65%"
"Feb 22, 2018","0.89144","0.95243","1.00433","0.86399","170.61M","-6.41%"
"Feb 21, 2018","0.95247","1.02801","1.04072","0.94058","160.25M","-7.29%"
"Feb 20, 2018","1.02735","1.10954","1.13297","1.01181","116.41M","-7.41%"
"Feb 19, 2018","1.10954","1.06984","1.13353","1.06949","66.36M","3.65%"
"Feb 18, 2018","1.07052","1.17809","1.17907","1.04427","148.63M","-9.13%"
"Feb 17, 2018","1.17811","1.11358","1.20265","1.10391","146.32M","5.80%"
"Feb 16, 2018","1.11358","1.10797","1.11712","1.06601","100.22M","0.48%"
"Feb 15, 2018","1.10821","1.12830","1.14278","1.07074","190.36M","-1.81%"
"Feb 14, 2018","1.12865","0.98734","1.15377","0.98113","237.12M","14.32%"
"Feb 13, 2018","0.98725","1.04270","1.04843","0.96758","137.47M","-5.32%"
"Feb 12, 2018","1.04270","0.96117","1.07547","0.95916","232.36M","8.53%"
"Feb 11, 2018","0.96074","1.02856","1.03859","0.89410","326.85M","-6.63%"
"Feb 10, 2018","1.02892","0.92020","1.22864","0.90687","650.58M","11.79%"
"Feb 09, 2018","0.92043","0.78205","0.92851","0.74203","290.66M","17.68%"
"Feb 08, 2018","0.78213","0.71783","0.79002","0.71286","179.31M","8.96%"
"Feb 07, 2018","0.71781","0.76286","0.81291","0.69687","255.92M","-5.78%"
"Feb 06, 2018","0.76185","0.68136","0.77926","0.57460","572.18M","11.82%"
"Feb 05, 2018","0.68132","0.81790","0.83638","0.64196","435.07M","-16.70%"
"Feb 04, 2018","0.81795","0.95985","0.96898","0.78294","246.24M","-14.78%"
"Feb 03, 2018","0.95978","0.90083","1.01952","0.78250","322.51M","6.73%"
"Feb 02, 2018","0.89930","0.95131","0.96437","0.66529","698.21M","-5.47%"
"Feb 01, 2018","0.95131","1.13627","1.14261","0.89933","273.94M","-16.50%"
"Jan 31, 2018","1.13931","1.11594","1.14804","1.02701","159.01M","2.40%"
"Jan 30, 2018","1.11266","1.27101","1.27281","1.09043","202.78M","-12.46%"
"Jan 29, 2018","1.27100","1.36329","1.37075","1.25299","120.50M","-6.76%"
"Jan 28, 2018","1.36320","1.22147","1.39393","1.21828","148.99M","11.61%"
"Jan 27, 2018","1.22142","1.21363","1.24298","1.18317","100.44M","0.64%"
"Jan 26, 2018","1.21363","1.30864","1.32551","1.12097","239.38M","-7.26%"
"Jan 25, 2018","1.30863","1.38152","1.40163","1.28565","124.14M","-5.28%"
"Jan 24, 2018","1.38162","1.36125","1.44365","1.32100","181.99M","1.58%"
"Jan 23, 2018","1.36019","1.37198","1.46006","1.21422","318.66M","-0.89%"
"Jan 22, 2018","1.37243","1.39622","1.44513","1.17010","315.17M","-1.59%"
"Jan 21, 2018","1.39464","1.60096","1.60199","1.35002","-","-12.92%"
"Jan 20, 2018","1.60149","1.57383","1.65727","1.52065","-","1.91%"
"Jan 19, 2018","1.57155","1.60712","1.71280","1.50367","-","-2.20%"
"Jan 18, 2018","1.60697","1.34073","1.75914","1.25973","-","19.86%"
"Jan 17, 2018","1.34068","1.19790","1.42809","0.88529","-","11.87%"
"Jan 16, 2018","1.19846","1.70878","1.73382","0.90028","-","-29.81%"
"Jan 15, 2018","1.70757","1.88429","1.92504","1.67782","-","-9.38%"
"Jan 14, 2018","1.88429","2.03990","2.04136","1.82547","-","-7.64%"
